,NAME,ADDRESS,OPEN_YEAR_ROUND,HANDICAP_ACCESSIBLE,LAT,LNG,LAT1,LNG1,indicator,pro,add,add1
14,The Arsenal,E. 64th St. at 5th Avenue,Yes,No,40.767644,-73.97126,NA,NA,1,NA,"The Arsenal, 830 5th Ave, New York, NY 10065, USA","5th Ave & E 64th St, New York, NY 10065, USA"
15,Great Hill,W. 106th St.,Yes,No,40.797011,-73.958974,NA,NA,1,NA,"Great Hill, Seymour, CT 06483, USA","W 106th St, Indiana, USA"
16,Heckscher House,"Heckscher Playground, 62nd St. Mid~Park",Yes,No,40.699645,-73.156632,NA,NA,1,NA,NA,NA
17,Wollman Skating Rink,E. 63rd near East Drive,Yes,No,40.767767,-73.974498,NA,NA,1,NA,NA,"E 63rd Dr, Aurora, CO 80019, USA"
18,Delacorte Theatre,W. 81st at Turtle Pond,Yes,Yes,40.78029,-73.968843,NA,NA,1,NA,NA,NA
19,Rockfeller Center Lower Floor,49st St. between 5th and 6th Aves.,Yes,No,40.758871,-73.978656,NA,NA,1,NA,NA,NA
20,Grand Central Station Public Restroom,Near 42nd St and Park Ave,Yes,Yes,40.752926,-73.977207,40.7752549,-74.020156,1,NA,NA,"Park Ave & 42nd St, Union City, NJ 07087, USA"
21,Carl Schurz Park,87th Street and East End Avenue,Yes,No,40.7751302,-73.9436973,40.7756171,-73.9442821,1,2.85E-07,"Carl Schurz Park, East 86th Street & East End Ave, New York, NY 10028, USA","E 87th St & East End Ave, New York, NY 10028, USA"
22,Tavern on the Green,W. 66th St and Central Park West,Yes,No,51.1273063,-0.1552554,40.7724388,-73.978741,2,764.4324118,"Tavern on the Green, Peterhouse Parade, Crawley, West Sussex RH10 3BA, UK","Central Park West & W 66th St, New York, NY 10023, USA"
23,Rockefeller Center,630 5th Ave.,Yes,No,40.7587402,-73.9786736,41.1052774,-98.3890491,1,8.459103177,"Rockefeller Center, 45 Rockefeller Plaza, New York, NY 10111, USA","630 5th Ave, St Libory, NE 68872, USA"
24,SAKS Fifth Avenue,611 Fifth Avenue,Yes,No,33.7273312,-85.7915635,40.758045,-73.9769745,2,83.06499392,"5th Ave, Anniston, AL, USA","611 5th Ave, New York, NY 10022, USA"
25,Barneys New York,660 Madison Ave.,Yes,No,NA,NA,42.6569096,-73.7755431,2,NA,NA,"660 Madison Ave, Albany, NY 12208, USA"
26,Bloomingdales,1000 3rd Ave.,Yes,No,40.762185,-73.967009,38.4293583,-82.381212,1,4094.99028,"Bloomingdales, Neeladri Rd, Karuna Nagar, Electronics City Phase 1, Electronic City, Doddathoguru, Karnataka 560100, India","1000 3rd Ave, Huntington, WV 25702, USA"
27,Old Navy,503~511 Broadway,Yes,No,43.8679298,-91.2031002,40.7224829,-73.9995839,2,54.11274701,"Old Navy, Onalaska, WI 54650, USA","511 Broadway, New York, NY 10012, USA"
29,Ancient Playground,E. 85 St. off 5th Avenue.,Yes,No,40.7807557,-73.9616122,40.7372973,-73.9921861,1,0.001328693,"Ancient playground, New York, NY 10028, USA","85 5th Ave, New York, NY 10003, USA"
30,South Street Seaport Mall,19 Fulton St.,Yes,No,40.706995,-74.004355,37.7797643,-122.4153467,1,2226.570187,Seaport St - Sharjah - United Arab Emirates,"19 Fulton St, San Francisco, CA 94118, USA"
31,"World Financial Center, Winter Garden",West St.,Yes,No,28.5652787,-81.5861847,40.7222399,-74.0118717,2,92.08062926,"Winter Garden, FL, USA","West St, New York, NY, USA"
32,Long Island Railroad,Penn Station,Yes,Yes,40.730542,-73.869241,NA,NA,1,NA,"Long Island Railroad, New York, USA","Pennsylvania Station, New York, NY 10119, USA"
33,Washington Square Park Bathrooms,"Washington Square Park , West 4th St. and Sullivan St.",Yes,Yes,40.730329,-73.998058,NA,NA,1,NA,"Washington, DC, USA","Washington, DC, USA"
34,Penn Station Public Restroom,Penn Station,Yes,Yes,"40.750779,",-73.993476,NA,NA,1,NA,NA,"Pennsylvania Station, New York, NY 10119, USA"
35,Public Restroom,Madison Sq Park,Yes,Yes,40.742029,-73.98751,NA,NA,1,NA,"Public Restroom, 631 Mesa Rd, Point Reyes Station, CA 94956, USA","Park, Madison, ME 04950, USA"
36,Prospect Park Bandshell,ninth street playground ~ bandshell building,Yes,Yes,"40.663471,",-73.976615,NA,NA,1,NA,NA,NA
37,Old Stone House in JJ Byrne park,336 3rd St between 3d and 4th streets in the park,Yes,Yes,"40.672997,",-73.984577,34.2525642,-85.1692598,1,NA,NA,"E 3rd St & E 4th Ave, Rome, GA 30161, USA"
39,Bed Bath and Beyond,620 6th Ave.,Yes,No,40.740114,-73.994428,39.725618,-104.9796887,1,55.37792136,"Bed, Bath, and Beyond Parking Lot, Gardnertown, NY 12550, USA","620 6th Ave, Denver, CO 80203, USA"
40,Bodum,413 W 14th St,Yes,No,40.751527,-74.006399,41.506081,-87.660127,1,22.26210402,"Bodum, MN 55040, USA","413 W 14th St, Chicago Heights, IL 60411, USA"
41,McDonalds,6 Water St.,Yes,No,40.70317,-74.012241,NA,NA,1,NA,"McDonald's, Gainesville, FL 32608, USA","Water St, Tasley, VA 23441, USA"
42,Old Navy,610 Avenue of the Americas,Yes,No,40.738825,-73.996357,NA,NA,1,NA,"Old Navy, Onalaska, WI 54650, USA","610 Ave of the Americas, New York, NY 10011, USA"
44,Staten Island Ferry,1 Bay Street,Yes,Yes,40.6722666,-74.0425913,31.144255,-81.4948815,1,71.00550747,"Staten Island Ferry, United States","Bay St, Brunswick, GA 31520, USA"
45,St Vincents Hospital,800 Castleton Avenue,Yes,Yes,33.50702,-86.78764,40.634491,-74.1092251,2,90.36503453,"St Vincent's Hospital, Birmingham, AL 35205, USA","800 Castleton Ave, Staten Island, NY 10310, USA"
46,St Vincents Emergency Room Area,900 castleton avenue,Yes,Yes,NA,NA,40.6347424,-74.1122795,2,NA,NA,"900 Castleton Ave, Staten Island, NY 10310, USA"
47,Shoprite 2344,2344 Richmond Avenue ~ Forest Avenue,Yes,Yes,0.3276086,32.6075211,40.6276019,-74.1678203,2,4303.045543,"Shoprite Rd, Kampala, Uganda","2344 Forest Ave, Staten Island, NY 10303, USA"
49,Tribeca Bagels,374 Canal Street,Yes,No,40.7162692,-74.0086323,29.9507988,-90.0658676,1,172.8636913,"Tribeca, New York, NY, USA","374 Canal St, New Orleans, LA 70130, USA"
50,Pearl Paint,308 Canal Street,Yes,No,40.719664,-74.002683,29.9506042,-90.0655654,1,63.52579509,"Pearl St, Washington Court House, OH 43160, USA","308 Canal St, New Orleans, LA 70130, USA"
51,Sbarro Pizza and Pasta,298 Canal Street,Yes,No,40.719826,",-74.002225",29.9505752,-90.0655196,1,NA,NA,"298 Canal St, New Orleans, LA 70130, USA"
52,Kings Leather,267 Canal Street,Yes,No,40.719151,-74.00101,29.9505876,-90.0650254,1,1945.190849,"Leather Ln, Great Missenden, Buckinghamshire HP16 9LX, UK","267 Canal St, New Orleans, LA 70130, USA"
53,Starbucks Coffee,405 Broadway,Yes,No,51.4816036,-0.0093395,40.718977,-74.002641,2,796.3622749,"Starbucks Coffee, Greenwich Church St, London SE10 9BL, UK","405 Broadway, New York, NY 10013, USA"
54,Teariffic,51 Mott Street,Yes,No,NA,NA,40.7154702,-73.9987687,2,NA,NA,"51 Mott St, New York, NY 10013, USA"
55,Burger King,273 Canal Street,Yes,No,38.070376,27.411275,40.719335,-74.001218,2,953.8781816,"Burger King, 35860 Tulum/Torbal€±/€¡zmir, Turkey","273 Canal St, New Orleans, LA 70130, USA"
56,Mc Donalds,260 Canal Street,Yes,No,29.6904256,-100.0320273,40.718687,-74.001022,2,2.591728959,"Mc Donalds, Camp Wood, TX 78833, USA","260 Canal St, New Orleans, LA 70130, USA"
57,Citicorp Center,153 East 53rd St,Yes,No,40.758516,-73.969858,41.5744546,-90.5713507,1,208.3953904,"777 Tower, 777 S Figueroa St, Los Angeles, CA 90017, USA","153 E 53rd St, Davenport, IA 52806, USA"
58,Babies R Us,24~30 Union Square East corner 15th St,Yes,No,39.2108098,-86.3872651,40.7360786,-73.9917058,2,18.90655986,"E Baby Creek Rd, Bloomington, IN 47408, USA","24 E 15th St, New York, NY 10003, USA"
59,Chelsea Market,75 Ninth Ave,Yes,No,40.742734,-74.006041,NA,NA,1,NA,"Market St, Boston, MA 02114, USA","75 9th Ave, Clayton, WI 54004, USA"
60,Times Square McDonalds,"1560 Broadway, New York, NY",Yes,No,"40.758878,",-73.984635,NA,NA,1,NA,"Theater District, New York, NY, USA","1560 Broadway, New York, NY 10036, USA"
61,Staten Island Ferry,"Water St & Whitehall St, New York, NY 10004, USA",Yes,Yes,"40.702622,",-74.012822,NA,NA,1,NA,"Staten Island Ferry, United States","Water St, New York, USA"
62,Public Atrium ~ 60 Wall St.,"60 Wall St, New York, NY 10005",Yes,No,"40.706687,",-74.007743,NA,NA,1,NA,NA,"60 Wall St, New York, NY 10005, USA"
63,Cosmos Service Inc,"65 Broadway, New York, NY 10006",Yes,No,"40.707632,",-74.012539,40.7073131,-74.012587,2,NA,NA,"65 Broadway, New York, NY 10006, USA"
64,Burger King,"44 Gold St, New York, NY 10038",Yes,No,38.070376,27.411275,40.7087437,-74.0057398,2,267.5753761,"Burger King, 35860 Tulum/Torbal€±/€¡zmir, Turkey","44 Gold St, New York, NY 10038, USA"
65,New Amsterdam Branch Library,"9 Murray St, New York, NY 10007",Yes,Yes,40.8511337,-73.9290202,40.7136425,-74.0079468,1,0.010851713,"2520 Amsterdam Ave Mendel Gottesman Library of Hebraica/Judaica, New York, NY 10033, USA","9 Murray Street, New York, NY 10007, USA"
66,Columbus Park,"29 Baxter St, New York, NY 10013",Yes,No,41.389954,-71.8303537,40.7143985,-74.000444,1,1.466016438,"Columbus Park, Westerly, RI 02891, USA","29 Baxter St, New York, NY 10013, USA"
67,Franklin Square,"70 Elizabeth St, New York, NY 10013",Yes,No,40.7073244,-73.6759635,40.7177279,-73.9962547,1,0.003332149,"Franklin Square, NY, USA","70 Elizabeth St, New York, NY 10013, USA"
68,Bloomingdales Soho,504 Broadway (bet. Broome and Spring),Yes,No,"40.722384,",-73.999144,NA,NA,1,NA,"SoHo, New York, NY, USA",NA
69,Macys Department Store,151 West 34th St.,Yes,No,40.750962,-73.989526,NA,NA,1,NA,NA,"151 W 34th St, New York, NY 10001, USA"
71,Port Authority Bus Terminal,8th Ave & 42nd street,Yes,Yes,40.757414,-73.989772,NA,NA,1,NA,"Port Authority Bus Terminal, 625 8th Ave, New York, NY 10018, USA","8th Ave, California, USA"
72,Herald Square Park,Broadway & 35th Street,Yes,Yes,39.975322,-85.992374,41.1115472,-73.8583806,2,13.78694908,"Herald Square, Fishers, IN 46038, USA","Broadway, New York, USA"
73,Greeley Square Park,Broadway & 32nd Street,Yes,Yes,40.7486977,-73.9883319,41.1115472,-73.8583806,1,0.047152764,"Greeley Square, Broadway, New York, NY 10001, USA","Broadway, New York, USA"
74,Lincoln Center for Performing Arts,138 W. 65th St.,Yes,No,40.773844,-73.983616,41.7764299,-87.626745,1,46.43581706,"Howard Center for the Performing Arts, Ruston, LA 71270, USA","138 W 65th St, Chicago, IL 60621, USA"
75,PROSPECT PARK playground,EASTERN PKWY BETWEEN WASHINGTON AVE & FLATBUSH AVE,Yes,Yes,41.516443,-78.2136126,NA,NA,1,NA,"Prospect Park Playground, Midland Rd, Emporium, PA 15834, USA",NA
76,Brooklyn Public Library central branch,Grand Army Plaza,Yes,Yes,40.6781784,-73.9441579,40.6730861,-73.9694272,2,0.000128679,"Brooklyn, NY, USA","Grand Army Plaza, Brooklyn, NY, USA"
77,Underhill Playground,Underhill Ave at Prospect Place,Yes,No,40.676715,-73.965699,NA,NA,1,NA,"Underhill Playground, Underhill Ave, Brooklyn, NY 11238, USA","Prospect Pl & Underhill Ave, Brooklyn, NY 11238, USA"
78,Saks Fifth Avenue,"611 Fifth Avenue (between E. 49th and 50th st.), New York, NY 10022",Yes,Yes,40.758096,-73.976969,NA,NA,1,NA,"5th Ave, Anniston, AL, USA","E 50th St, New York, NY 10022, USA"
79,Bloomingdales,"1000 Third Avenue (between E. 59th and 60th st.), New York, NY 10022",Yes,Yes,12.8409319,77.6516957,40.7619986,-73.9656927,2,4233.319214,"Bloomingdales, Neeladri Rd, Karuna Nagar, Electronics City Phase 1, Electronic City, Doddathoguru, Karnataka 560100, India","E 60th St, New York, NY 10022, USA"
80,Penn Station~ New Jersey Transit,"14 Penn Plaza, New York, NY 10001",Yes,Yes,NA,NA,40.7507431,-73.9921407,2,NA,NA,"14 Pennsylvania Plaza, New York, NY 10001, USA"
81,Rockefeller Center,47~50 st,Yes,Yes,40.7587402,-73.9786736,43.5577651,-93.8091128,1,55.5058931,"Rockefeller Center, 45 Rockefeller Plaza, New York, NY 10111, USA","47 50th St, Bricelyn, MN 56014, USA"
82,Public Restroom,Shore Road Park at 79th Street,Yes,No,38.0685555,-122.8051225,40.6312978,-74.0388353,2,124.975427,"Public Restroom, 631 Mesa Rd, Point Reyes Station, CA 94956, USA","Shore Rd & 79th St, Brooklyn, NY 11209, USA"
83,The Soltaire,"20 River Terrace, New York, NY 10282",Yes,Yes,58.0263858,-3.847595,40.7165818,-74.0161324,2,1214.603629,"Saltire, Dalchalm, Brora, Highland KW9 6LP, UK","20 River Terrace, New York, NY 10282, USA"
84,Chelsea Piers Golf Club,11th Ave & W 22nd St,Yes,No,NA,NA,40.7437031,-74.008656,2,NA,NA,"11th Ave, New York, NY, USA"
85,Playground,Madison st. & Jefferson,Yes,No,40.712904,-73.988492,35.0131472,-90.7226097,1,180.1010394,"Playground, Richford, VT 05476, USA","Madison, AR, USA"
86,Playground,Market St. & Cherry St.,Yes,No,40.710725,-73.994091,34.3186252,-77.7693794,1,54.36123958,"Playground, Richford, VT 05476, USA","Market St, Wilmington, NC, USA"
87,Playground,Catherine Slip & Monroe St.,Yes,No,44.9934103,-72.6768891,40.7096804,-73.997115,1,5.655491163,"Playground, Richford, VT 05476, USA","Catherine Slip, New York, NY, USA"
88,Wendys,6420 AMBOY ROAD,Yes,Yes,40.521419,-74.216746,NA,NA,1,NA,"Wendy's, Blanco, TX 78606, USA","6420 Amboy Rd, Staten Island, NY 10309, USA"
89,Roosevelt Island Tramway,"Road 5, New York, New York",Yes,No,40.762991,-73.949399,NA,NA,1,NA,"Roosevelt Island Tram Station, Main St, Roosevelt Island, NY 10044, USA","5th Rd, Queens, NY 11693, USA"
90,NY Waterway Ferry Terminal,W. 39th & 12th Ave,Yes,No,40.7274499,-74.0308856,30.5247591,-82.942473,1,90.92217078,"NY Waterway Newport, 30 River Ct, Jersey City, NJ 07310, USA","W 39, Jasper, FL 32052, USA"
91,Great Kills Park Beach Center,204 Buffalo Street,Yes,Yes,40.5543273,-74.156292,42.469859,-78.9359939,1,9.155670506,"Great Kills, Staten Island, NY, USA","204 Buffalo St, Gowanda, NY 14070, USA"
92,New York Public Library Schwarzman Building,5th Avenue & 42nd Street,Yes,Yes,40.7127837,-74.0059413,40.7465393,-73.9859729,1,0.000674045,"New York, NY, USA","5th Ave, New York, NY, USA"
93,Time Warner,Columbus Circle,Yes,No,34.8010769,-76.8776499,40.7680441,-73.9823722,2,17.27602707,"Time Warner Dr, Newport, NC 28570, USA","Columbus Cir, New York, NY, USA"
94,Great Kills Park Parking Lot,Buffalo St,Yes,No,40.5543273,-74.156292,42.4715489,-78.9354506,1,9.162706098,"Great Kills, Staten Island, NY, USA","Buffalo St, Gowanda, NY 14070, USA"
96,Home Depot,"2970 Cropsey Ave, Brooklyn, NY 11214",Yes,No,40.581776,-73.988563,NA,NA,1,NA,"Home Depot, 4640 Roosevelt Blvd, Philadelphia, PA 19124, USA","2970 Cropsey Ave, Brooklyn, NY 11214, USA"
97,Pathmark,"2965 Cropsey Ave., Brooklyn, NY",Yes,No,40.582988,-73.984933,NA,NA,1,NA,"Pathmark Plaza, Mt Vernon, NY 10550, USA","2965 Cropsey Ave, Brooklyn, NY 11214, USA"
98,Loehmanns Department Store,"2807 EAST 21ST STREET BROOKLYN, NY 11235 (718) 368~1256",Yes,No,40.584251,-73.94673,NA,NA,1,NA,NA,"2807 E 21st St, Brooklyn, NY 11235, USA"
99,Battery Park,"7 Slate St, New York, NY 10004, USA",Yes,No,40.7032775,-74.0170279,41.3562081,-74.6803501,1,0.433103362,"Battery Park, New York, NY 10004, USA","7 Slate Hill Rd, Port Jervis, NY 12771, USA"
100,Castle Clinton,"17 Battery Pl, New York, NY 10005",Yes,Yes,40.7034401,-74.0168023,40.7051613,-74.0159706,1,1.43E-06,"Castle Clinton National Monument, Battery Park, New York, NY 10004, USA","17 Battery Pl, New York, NY 10004, USA"
101,Battery Park,"Washington St & Battery Pl, New York, NY 10004",Yes,No,40.7032775,-74.0170279,30.6163073,-92.057063,1,181.9692965,"Battery Park, New York, NY 10004, USA","Washington, LA, USA"
102,Public Toilets,By the entrance to Chelsea Pier,Yes,No,40.748886,-74.008691,NA,NA,1,NA,"Public Toilets, Sturry Hill, Sturry, Canterbury, Kent CT2 0BH, UK",NA
103,Inside Playground at Union Sq.,Union Square NE side,Yes,Yes,40.735266,-73.990277,29.4827971,-98.3289085,1,NA,NA,"Union Terrace, San Antonio, TX 78244, USA"
104,Conservatory Pond ~ Central Park close to 74th St and 5th ave,Conservatory Pond ~ Central Park close to 74th St and 5th ave,Yes,No,40.773965,-73.966555,NA,NA,1,NA,NA,NA
105,Pier 84 Comfort Station,Hudson River Greenway at 44th St,Yes,Yes,40.763445,-73.999861,NA,NA,1,NA,NA,"W 44th St & Hudson River Greenway, New York, NY 10036, USA"
106,Riverside Branch New York Public Library,127 Amsterdam Avenue (at W. 65th St.),Yes,Yes,40.774468,-73.984442,NA,NA,1,NA,"Riverside Dr, New York, NY, USA","Amsterdam Ave & W 65th St, New York, NY 10023, USA"
109,Playground 174,"East 174 Street, Stratford Ave",Yes,Not Available,40.8343419,-73.8777413,40.7633699,-73.6412419,1,0.016784835,"Playground 174, E 174th St, Bronx, NY 10472, USA","174 Stratford Ave, Williston Park, NY 11596, USA"
110,Bronx River Parkway,Bronx Blvd between East 226 St and East 228 St,Yes,Not Available,40.9476645,-73.8345485,40.8370495,-73.8654295,1,0.003415902,"Bronx River Pkwy, New York, USA","Bronx County, NY, USA"
111,Abigail Playground,"East 156 Street, Tinton Avenue",Yes,Not Available,40.8173278,-73.9048429,40.3055318,-74.0687506,1,0.083887305,"Abigail Playground, Bronx, NY 10455, USA","156 Tinton Ave, Eatontown, NJ 07724, USA"
112,Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",Yes,Not Available,40.8803982,-73.8615704,37.209164,-93.2527085,1,71.18940937,"Agnes Haywood Playground, Barnes Ave, Bronx, NY 10467, USA","215 N Barnes Ave, Springfield, MO 65802, USA"
113,Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",Yes,Not Available,40.865851,-73.850576,NA,NA,1,NA,"Allerton Playground, Allerton Ave, Bronx, NY 10469, USA",NA
114,Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Yes,Not Available,40.8271436,-73.9142127,NA,NA,1,NA,NA,NA
115,Bailey Playground,"Bailey Avenue, Weast 233-West 238 Streets",Yes,Not Available,40.8819128,-73.9001578,39.1729522,-90.7877677,1,28.86025995,NA,"238 Bailey Ave, Elsberry, MO 63343, USA"
116,Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Yes,Not Available,40.8253722,-73.9012602,NA,NA,1,NA,"Basil Behagen Playground, Tinton Ave, Bronx, NY 10456, USA",NA
117,Belmont Playground,"Crotona Avenue, East 181 Street",Yes,Not Available,40.8502451,-73.8876637,18.0244065,-76.8091508,1,66.68539302,"Belmont Playground, E 181st St, Bronx, NY 10457, USA","Crotona Terrace, Kingston, Jamaica"
118,Bronx Park,Lydig Avenue & Bonx Park East,Yes,No,44.9529891,-93.3618372,40.8543818,-73.8610494,2,79.92607123,"Bronx Park, St Louis Park, MN, USA","Lydig Ave, Bronx, NY, USA"
119,Bronx Park,Bronx Park East between Bronxdale Avenue and Unionport Road,Yes,Not Available,44.9529891,-93.3618372,40.8370495,-73.8654295,2,80.24603651,"Bronx Park, St Louis Park, MN, USA","Bronx County, NY, USA"
120,Bronx Park,East 204 Street & W/S Bronx Park,Yes,Not Available,44.9529891,-93.3618372,40.8740125,-73.8833881,2,79.45213808,"Bronx Park, St Louis Park, MN, USA","E 204th St, New York, NY, USA"
121,Bronx Park,East 219 Street & Bronx River Parkway,Yes,Not Available,44.9529891,-93.3618372,38.7180672,-94.2559255,,5.574570722,"Bronx Park, St Louis Park, MN, USA","E 219th St, Pleasant Hill, MO 64080, USA"
122,Bronx Park,"Southern Voulevard, Webster, Burke avenues, Bronx Park East, 180 Street",Yes,Not Available,44.9529891,-93.3618372,NA,NA,,NA,NA,NA
123,Bronx Park,"East 180th Street, Boston Road",Yes,Not Available,44.9529891,-93.3618372,NA,NA,,NA,NA,NA
124,Bronx Park,Bronx River Parkway & Rosewood Street,Yes,Not Available,44.9529891,-93.3618372,40.9476645,-73.8345485,,78.2131298,"Bronx Park, St Louis Park, MN, USA","Bronx River Pkwy, New York, USA"
125,Bronx Park,Bronx Park East between Waring Avenue and Thwaites Place,Yes,Not Available,NA,NA,NA,NA,,NA,"Bronx Park, St Louis Park, MN, USA","Bronx County, NY, USA"
126,Bronx River Parkway,"Bronx River Parkway, Bronx Park, Westchester/NYC City Line",Yes,Not Available,40.9476645,-73.8345485,40.864696,-73.871816,,0.003092029,"Bronx River Pkwy, New York, USA","Bronx River Pkwy, Bronx, NY, USA"
127,Bufano Park,"La Salle Avenue, Edison Avenue, Bradford Avenue, Waterbury Avenue",Yes,Not Available,40.8381348,-73.8310627,NA,NA,1,NA,"Bufano Park, Bradford Ave, Bronx, NY 10461, USA",NA
128,Captain Rivera Playground,"East 156 Street, Forest Avenue",Yes,Not Available,40.8178344,-73.906772,39.7189646,-104.9269401,1,34.08712592,"Captain Rivera Playground, 720 E 156th St, Bronx, NY 10455, USA","156 Forest St, Denver, CO 80220, USA"
129,Caserta Playground,"St. Raymond Avenue, Puroy Street",Yes,Not Available,40.8373952,-73.8538521,NA,NA,1,NA,"Caserta Playground, St Raymonds Ave, Bronx, NY 10462, USA",NA
130,Castle Hill Playground,"Parker Street, Castle Hill Avenue, Puroy Street",Yes,Not Available,40.8234124,-73.8509116,NA,NA,1,NA,"Police Officer Hilario Serrano Playground, Turnbull Ave, Bronx, NY 10473, USA",NA
131,Cauldwell Playground,"Caldwell Avenue, East 163 Street, East 161 Street",Yes,Not Available,NA,NA,NA,NA,1,NA,"Speedwell Park-Pocahontas L, Morristown, NJ 07960, USA","163 Caldwell Ct, Ferguson, MO 63135, USA"
132,Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",Yes,Not Available,NA,NA,NA,NA,,NA,"Cedar Playground, Cedar Ave, Bronx, NY 10453, USA",NA
133,Ciccarone Park Playground,"Arthur Avenue, East 188 Street",Yes,Not Available,NA,NA,NA,NA,,NA,NA,"188 Arthur Ave SE, Minneapolis, MN 55414, USA"
134,Claremont Park,Mount Eden Parkway & Morris Avenue,Yes,No,NA,NA,NA,NA,,NA,"Claremont Park, Boston, MA 02118, USA","Mt Eden Pkwy, Bronx, NY, USA"
135,Claremont Park Playground,E 170 Street & Teller Avenue,Yes,No,37.8608563,-122.2568367,40.471443,-93.8654043,,74.11829582,"Willard Park playground, Berkeley, CA 94705, USA","E 170th St, Missouri, USA"
136,Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes,Not Available,40.8137639,-73.9214695,39.9610321,32.9093759,1,91.09805909,"Clark Playground, Bronx, NY 10454, USA","Hac€±lar, 883/3. Sk., 06360 Alt€±nda€Ù/Ankara, Turkey"
137,Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,Not Available,40.8528355,-73.8347386,NA,NA,1,NA,"Colucci Playground, Marconi St, Bronx, NY 10461, USA",NA
138,Crotona Park (Martin Van Buren Playground),Crotona East & Claremont Parkway,Yes,No,40.8353103,-73.8958401,39.1309856,17.0067031,1,154.9274497,"Martin Van Buren Playground, Crotona Park E, Bronx, NY 10457, USA","Province of Crotone, Italy"
139,Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,Yes,No,40.835697,-73.901235,43.2880277,-76.1482738,1,387.2491608,"Province of Crotone, Italy","Fulton Ave, Central Square, NY 13036, USA"
140,Crotona Park (Pool House),173rd Street & Fulton Avenue,Yes,Yes,NA,NA,NA,NA,,NA,"Province of Crotone, Italy","173rd St, South Dakota, USA"
141,Crotona Park (Environmental Center),"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",Yes,No,NA,NA,NA,NA,,NA,"Province of Crotone, Italy","Province of Crotone, Italy"
